Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;el Pilar;2023;Hombre;Total;Total;47.3684210526316
Desempleo registrado de larga duracion;el Mercat;2023;Hombre;Total;Total;41.25
Desempleo registrado de larga duracion;Sant Francesc;2023;Hombre;Total;Total;48.1012658227848
Desempleo registrado de larga duracion;2.1 Russafa;2023;Hombre;Total;Total;50.187969924812
Desempleo registrado de larga duracion;el Pla del Remei;2023;Hombre;Total;Total;50.6849315068493
Desempleo registrado de larga duracion;Gran Via;2023;Hombre;Total;Total;48.6111111111111
Desempleo registrado de larga duracion;el Botànic;2023;Hombre;Total;Total;53.1791907514451
Desempleo registrado de larga duracion;la Roqueta;2023;Hombre;Total;Total;44.4444444444444
Desempleo registrado de larga duracion;la Petxina;2023;Hombre;Total;Total;50.6944444444444
Desempleo registrado de larga duracion;Arrancapins;2023;Hombre;Total;Total;50
Desempleo registrado de larga duracion;Campanar;2023;Hombre;Total;Total;45
Desempleo registrado de larga duracion;les Tendetes;2023;Hombre;Total;Total;40
Desempleo registrado de larga duracion;el Calvari;2023;Hombre;Total;Total;45.0292397660819
Desempleo registrado de larga duracion;Sant Pau;2023;Hombre;Total;Total;39.5061728395062
Desempleo registrado de larga duracion;Marxalenes;2023;Hombre;Total;Total;49.8054474708171
Desempleo registrado de larga duracion;Morvedre;2023;Hombre;Total;Total;48.5232067510549
Desempleo registrado de larga duracion;Trinitat;2023;Hombre;Total;Total;54.6448087431694
Desempleo registrado de larga duracion;Tormos;2023;Hombre;Total;Total;49.2125984251969
Desempleo registrado de larga duracion;Sant Antoni;2023;Hombre;Total;Total;45.3441295546559
Desempleo registrado de larga duracion;Exposició;2023;Hombre;Total;Total;47.7272727272727
Desempleo registrado de larga duracion;Mestalla;2023;Hombre;Total;Total;41.6309012875537
Desempleo registrado de larga duracion;Jaume Roig;2023;Hombre;Total;Total;36
Desempleo registrado de larga duracion;Ciutat Universitària;2023;Hombre;Total;Total;44.4444444444444
Desempleo registrado de larga duracion;Nou Moles;2023;Hombre;Total;Total;45.5696202531646
Desempleo registrado de larga duracion;Soternes;2023;Hombre;Total;Total;47.1428571428572
Desempleo registrado de larga duracion;Tres Forques;2023;Hombre;Total;Total;46.5798045602606
Desempleo registrado de larga duracion;la Fontsanta;2023;Hombre;Total;Total;50
Desempleo registrado de larga duracion;la Llum;2023;Hombre;Total;Total;46.6666666666667
Desempleo registrado de larga duracion;Patraix;2023;Hombre;Total;Total;44.6886446886447
Desempleo registrado de larga duracion;Sant Isidre;2023;Hombre;Total;Total;43.5555555555556
Desempleo registrado de larga duracion;Vara de Quart;2023;Hombre;Total;Total;51.0548523206751
Desempleo registrado de larga duracion;el Safranar;2023;Hombre;Total;Total;45.9627329192547
Desempleo registrado de larga duracion;Favara;2023;Hombre;Total;Total;50.9433962264151
Desempleo registrado de larga duracion;la Raiosa;2023;Hombre;Total;Total;43.8144329896907
Desempleo registrado de larga duracion;l'Hort de Senabre;2023;Hombre;Total;Total;43.4579439252336
Desempleo registrado de larga duracion;la Creu Coberta;2023;Hombre;Total;Total;50
Desempleo registrado de larga duracion;Sant Marcel·lí;2023;Hombre;Total;Total;48.5943775100402
Desempleo registrado de larga duracion;Camí Real;2023;Hombre;Total;Total;51.0416666666667
Desempleo registrado de larga duracion;Mont-Olivet;2023;Hombre;Total;Total;51.3611615245009
Desempleo registrado de larga duracion;en Corts;2023;Hombre;Total;Total;47.8260869565217
Desempleo registrado de larga duracion;Malilla;2023;Hombre;Total;Total;47.2222222222222
Desempleo registrado de larga duracion;la Fonteta de Sant Lluís;2023;Hombre;Total;Total;52
Desempleo registrado de larga duracion;na Rovella;2023;Hombre;Total;Total;55.297157622739
Desempleo registrado de larga duracion;la Punta;2023;Hombre;Total;Total;46.6019417475728
Desempleo registrado de larga duracion;Ciutat de les Arts i de les Ciències;2023;Hombre;Total;Total;45.9259259259259
Desempleo registrado de larga duracion;el Grau;2023;Hombre;Total;Total;48.1605351170569
Desempleo registrado de larga duracion;el Cabanyal-el Canyamelar;2023;Hombre;Total;Total;51.3513513513514
Desempleo registrado de larga duracion;la Malva-rosa;2023;Hombre;Total;Total;46.3133640552995
Desempleo registrado de larga duracion;Beteró;2023;Hombre;Total;Total;52.0408163265306
Desempleo registrado de larga duracion;Natzaret;2023;Hombre;Total;Total;50.7194244604317
Desempleo registrado de larga duracion;Aiora;2023;Hombre;Total;Total;48.4375
Desempleo registrado de larga duracion;Albors;2023;Hombre;Total;Total;50.2702702702703
Desempleo registrado de larga duracion;la Creu del Grau;2023;Hombre;Total;Total;47.6997578692494
Desempleo registrado de larga duracion;Camí Fondo;2023;Hombre;Total;Total;48.3333333333333
Desempleo registrado de larga duracion;Penya-roja;2023;Hombre;Total;Total;40.6896551724138
Desempleo registrado de larga duracion;l'Illa Perduda;2023;Hombre;Total;Total;50.7853403141361
Desempleo registrado de larga duracion;Ciutat Jardí;2023;Hombre;Total;Total;46.25
Desempleo registrado de larga duracion;l'Amistat;2023;Hombre;Total;Total;46.2616822429907
Desempleo registrado de larga duracion;la Bega Baixa;2023;Hombre;Total;Total;44.4444444444444
Desempleo registrado de larga duracion;la Carrasca;2023;Hombre;Total;Total;45.6140350877193
Desempleo registrado de larga duracion;Benimaclet;2023;Hombre;Total;Total;49.0079365079365
Desempleo registrado de larga duracion;Camí de Vera;2023;Hombre;Total;Total;44.8979591836735
Desempleo registrado de larga duracion;Orriols;2023;Hombre;Total;Total;50.5119453924915
Desempleo registrado de larga duracion;Torrefiel;2023;Hombre;Total;Total;47.9166666666667
Desempleo registrado de larga duracion;Sant Llorenç;2023;Hombre;Total;Total;44.4444444444444
